date,price_range_percent
2018-10-18,1.82
2018-10-19,0.75
2018-10-20,0.76
2018-10-21,1.24
2018-10-22,1.25
2018-10-23,0.85
2018-10-24,0.82
2018-10-25,0.89
2018-10-26,0.75
2018-10-27,0.83
2018-10-28,0.84
2018-10-29,3.12
2018-10-30,0.87
2018-10-31,0.51
2018-11-01,3.73
2018-11-02,1.1
2018-11-03,0.91
2018-11-04,1.49
2018-11-05,1.84
2018-11-06,0.86
2018-11-07,1.3
2018-11-08,1.53
2018-11-09,1.3
2018-11-10,0.81
2018-11-11,1.15
2018-11-12,1.16
2018-11-13,0.83
2018-11-14,14.93
2018-11-15,7.77
2018-11-16,2.87
2018-11-17,1.07
2018-11-18,1.69
2018-11-19,16.06
2018-11-20,15.91
2018-11-21,7.64
2018-11-22,6.05
2018-11-23,4.78
2018-11-24,16.28
2018-11-25,14.95
2018-11-26,12.71
2018-11-27,5.52
2018-11-28,14.74
2018-11-29,6.45
2018-11-30,9.64
2018-12-01,8.56
2018-12-02,4.63
2018-12-03,8.22
2018-12-04,6.34
2018-12-05,5.74
2018-12-06,10.05
2018-12-07,7.08
2018-12-08,4.64
2018-12-09,6.23
2018-12-10,5.11
2018-12-11,3.57
2018-12-12,3.54
2018-12-13,5.81
2018-12-14,3.84
2018-12-15,2.63
2018-12-16,2.22
2018-12-17,10.6
2018-12-18,6.14
2018-12-19,7.11
2018-12-20,12.4
2018-12-21,9.02
2018-12-22,4.11
2018-12-23,2.75
2018-12-24,6.79
2018-12-25,8.76
2018-12-26,3.28
2018-12-27,6.28
2018-12-28,8.61
2018-12-29,3.75
2018-12-30,2.76
2018-12-31,3.83
2019-01-01,3.88
2019-01-02,3.42
2019-01-03,2.86
2019-01-04,2.17
2019-01-05,1.77
2019-01-06,6.97
2019-01-07,1.78
2019-01-08,2.8
2019-01-09,1.14
2019-01-10,11.07
2019-01-11,1.66
2019-01-12,1.24
2019-01-13,3.66
2019-01-14,4.94
2019-01-15,2.77
2019-01-16,1.69
2019-01-17,1.61
2019-01-18,1.25
2019-01-19,2.91
2019-01-20,4.48
2019-01-21,1.41
2019-01-22,2.29
2019-01-23,1.62
2019-01-24,1.32
2019-01-25,1.04
2019-01-26,1.71
2019-01-27,1.27
2019-01-28,4.29
2019-01-29,2.21
2019-01-30,1.92
2019-01-31,1.65
2019-02-01,2.05
2019-02-02,1.61
2019-02-03,2.13
2019-02-04,0.98
2019-02-05,0.76
2019-02-06,2.08
2019-02-07,0.99
2019-02-08,8.98
2019-02-09,0.92
2019-02-10,1.48
2019-02-11,1.46
2019-02-12,1.38
2019-02-13,1.45
2019-02-14,1.07
2019-02-15,1.1
2019-02-16,1.04
2019-02-17,1.7
2019-02-18,7.27
2019-02-19,2.63
2019-02-20,1.89
2019-02-21,1.77
2019-02-22,1.41
2019-02-23,4.98
2019-02-24,10.99
2019-02-25,2.8
2019-02-26,1.4
2019-02-27,2.69
2019-02-28,1.57
2019-03-01,1.46
2019-03-02,1.11
2019-03-03,1.01
2019-03-04,3.58
2019-03-05,4.24
2019-03-06,1.24
2019-03-07,1.16
2019-03-08,1.94
2019-03-09,2.44
2019-03-10,1.06
2019-03-11,1.98
2019-03-12,1.64
2019-03-13,0.89
2019-03-14,1.16
2019-03-15,1.39
2019-03-16,2.91
2019-03-17,1.19
2019-03-18,1.56
2019-03-19,1.45
2019-03-20,1.45
2019-03-21,2.3
2019-03-22,0.8
2019-03-23,0.84
2019-03-24,0.86
2019-03-25,2.66
2019-03-26,1.02
2019-03-27,2.75
2019-03-28,1.35
2019-03-29,1.97
2019-03-30,5.99
2019-03-31,0.46
2019-04-01,1.66
2019-04-02,18.06
2019-04-03,8.83
2019-04-04,4.68
2019-04-05,2.72
2019-04-06,4.28
2019-04-07,3.66
2019-04-08,3.31
2019-04-09,2.37
2019-04-10,4.4
2019-04-11,6.72
2019-04-12,2.97
2019-04-13,1.29
2019-04-14,2.58
2019-04-15,3.43
2019-04-16,3.63
2019-04-17,1.06
2019-04-18,1.32
2019-04-19,1.97
2019-04-20,1.18
2019-04-21,1.95
2019-04-22,2.7
2019-04-23,4.53
2019-04-24,4.13
2019-04-25,6.97
2019-04-26,3.98
2019-04-27,1.47
2019-04-28,1.34
2019-04-29,1.82
2019-04-30,2.66
2019-05-01,1.32
2019-05-02,2.37
2019-05-03,6.84
2019-05-04,4.28
2019-05-05,2.2
2019-05-06,2.64
2019-05-07,4.3
2019-05-08,3.37
2019-05-09,3.36
2019-05-10,4.43
2019-05-11,15.01
2019-05-12,10.1
2019-05-13,16.66
2019-05-14,7.44
2019-05-15,4.02
2019-05-16,7.65
2019-05-17,12.66
2019-05-18,2.7
2019-05-19,13.68
2019-05-20,6.8
2019-05-21,2.79
2019-05-22,5.01
2019-05-23,5.45
2019-05-24,4.04
2019-05-25,1.91
2019-05-26,9.63
2019-05-27,2.75
2019-05-28,2.0
2019-05-29,3.22
2019-05-30,9.57
2019-05-31,5.07
2019-06-01,1.7
2019-06-02,2.9
2019-06-03,6.57
2019-06-04,8.55
2019-06-05,3.04
2019-06-06,4.83
2019-06-07,4.34
2019-06-08,3.05
2019-06-09,5.18
2019-06-10,5.87
2019-06-11,3.26
2019-06-12,4.25
2019-06-13,2.78
2019-06-14,6.44
2019-06-15,2.79
2019-06-16,5.91
2019-06-17,4.76
2019-06-18,3.81
2019-06-19,2.53
2019-06-20,3.92
2019-06-21,6.5
2019-06-22,10.39
2019-06-23,6.54
2019-06-24,4.29
2019-06-25,7.12
2019-06-26,17.36
2019-06-27,26.87
2019-06-28,14.02
2019-06-29,7.76
2019-06-30,12.77
2019-07-01,11.07
2019-07-02,12.06
2019-07-03,10.63
2019-07-04,7.52
2019-07-05,4.79
2019-07-06,5.81
2019-07-07,3.52
2019-07-08,8.36
2019-07-09,4.46
2019-07-10,12.11
2019-07-11,8.83
2019-07-12,6.5
2019-07-13,8.56
2019-07-14,11.89
2019-07-15,10.62
2019-07-16,16.39
2019-07-17,8.73
2019-07-18,14.5
2019-07-19,4.76
2019-07-20,5.72
2019-07-21,4.35
2019-07-22,4.89
2019-07-23,4.69
2019-07-24,3.06
2019-07-25,3.89
2019-07-26,2.04
2019-07-27,8.03
2019-07-28,3.49
2019-07-29,2.2
2019-07-30,2.8
2019-07-31,5.08
2019-08-01,5.29
2019-08-02,2.77
2019-08-03,4.22
2019-08-04,3.66
2019-08-05,8.52
2019-08-06,8.71
2019-08-07,5.28
2019-08-08,3.66
2019-08-09,2.23
2019-08-10,5.23
2019-08-11,2.45
2019-08-12,1.83
2019-08-13,5.45
2019-08-14,8.59
2019-08-15,7.88
2019-08-16,6.79
2019-08-17,3.63
2019-08-18,3.64
2019-08-19,5.85
2019-08-20,3.09
2019-08-21,8.39
2019-08-22,4.08
2019-08-23,3.61
2019-08-24,4.36
2019-08-25,2.96
2019-08-26,3.81
2019-08-27,2.91
2019-08-28,5.79
2019-08-29,3.56
2019-08-30,2.42
2019-08-31,1.48
2019-09-01,2.23
2019-09-02,6.84
2019-09-03,4.15
2019-09-04,3.14
2019-09-05,1.05
2019-09-06,5.89
2019-09-07,2.03
2019-09-08,1.79
2019-09-09,3.01
2019-09-10,3.73
2019-09-11,2.36
2019-09-12,3.4
2019-09-13,2.1
2019-09-14,1.27
2019-09-15,0.72
2019-09-16,1.93
2019-09-17,0.95
2019-09-18,0.83
2019-09-19,4.51
2019-09-20,1.52
2019-09-21,1.87
2019-09-22,1.53
2019-09-23,3.57
2019-09-24,17.13
2019-09-25,5.04
2019-09-26,7.85
2019-09-27,3.84
2019-09-28,1.97
2019-09-29,3.39
2019-09-30,6.17
2019-10-01,3.22
2019-10-02,2.01
2019-10-03,3.29
2019-10-04,1.33
2019-10-05,1.79
2019-10-06,2.55
2019-10-07,5.09
2019-10-08,1.8
2019-10-09,5.61
2019-10-10,1.81
2019-10-11,4.88
2019-10-12,1.23
2019-10-13,2.35
2019-10-14,1.28
2019-10-15,2.79
2019-10-16,2.9
2019-10-17,1.67
2019-10-18,2.99
2019-10-19,1.74
2019-10-20,4.18
2019-10-21,1.22
2019-10-22,2.75
2019-10-23,8.35
2019-10-24,1.15
2019-10-25,16.2
2019-10-26,15.69
2019-10-27,6.99
2019-10-28,5.93
2019-10-29,3.07
2019-10-30,3.76
2019-10-31,3.93
2019-11-01,1.57
2019-11-02,1.38
2019-11-03,2.61
2019-11-04,3.41
2019-11-05,2.17
2019-11-06,1.26
2019-11-07,1.81
2019-11-08,5.67
2019-11-09,1.12
2019-11-10,3.38
2019-11-11,4.38
2019-11-12,1.94
2019-11-13,0.86
2019-11-14,1.55
2019-11-15,2.9
2019-11-16,1.39
2019-11-17,2.67
2019-11-18,4.59
2019-11-19,3.81
2019-11-20,2.83
2019-11-21,6.75
2019-11-22,10.97
2019-11-23,4.07
2019-11-24,5.4
2019-11-25,10.62
2019-11-26,3.12
2019-11-27,9.26
2019-11-28,3.7
2019-11-29,4.29
2019-11-30,4.26
2019-12-01,3.84
2019-12-02,3.34
2019-12-03,2.62
2019-12-04,5.14
2019-12-05,7.06
2019-12-06,2.09
2019-12-07,0.85
2019-12-08,2.12
2019-12-09,3.42
2019-12-10,2.46
2019-12-11,1.79
2019-12-12,1.42
2019-12-13,0.92
2019-12-14,2.98
2019-12-15,3.71
2019-12-16,3.87
2019-12-17,5.71
2019-12-18,12.0
2019-12-19,4.33
2019-12-20,2.42
2019-12-21,1.55
2019-12-22,4.9
2019-12-23,4.5
2019-12-24,3.66
2019-12-25,1.88
2019-12-26,2.61
2019-12-27,2.41
2019-12-28,1.54
2019-12-29,3.22
2019-12-30,2.45
2019-12-31,2.31
2020-01-01,1.11
2020-01-02,3.99
2020-01-03,7.21
2020-01-04,1.61
2020-01-05,1.95
2020-01-06,5.03
2020-01-07,5.28
2020-01-08,5.53
2020-01-09,3.06
2020-01-10,5.69
2020-01-11,2.35
2020-01-12,2.38
2020-01-13,1.46
2020-01-14,9.07
